Date,AAPL,MSFT,GOOG,NVDA,ORCL,INTC,AMD,AMZN,CSCO,ADBE,QCOM,IBM,Tech,Total Portfolio
2005-04-08,27363.146748498235,18641.546236313352,19748.07093130026,20872.31370735976,18928.023460080436,20674.75275586506,16912.420511407287,16421.451605840135,19288.79334006994,22401.996381361845,16601.406180322047,18152.442299888102,236006.36415830647,236006.36415830647
2005-04-11,26224.579911955338,18663.969394254553,19869.409096817417,20462.805780466366,18989.2818900352,20523.85079128047,16843.148172965666,16421.451605840135,19385.77934489809,22248.78648694474,16406.377188461818,17862.345442987196,233901.785106907,233901.785106907
2005-04-12,26687.50820545283,18925.56599563329,19944.47563003865,20712.100342138674,19127.10232120412,20612.6199150838,17050.96518829052,16435.6899580974,19655.173159928574,22282.0925438025,16458.705738962137,17769.091646942637,235661.09064557514,235661.09064557514
2005-04-13,25674.05288210381,18716.2887145303,19838.56266594827,19848.64556710115,18774.884742679737,20257.539041543314,16882.731557419596,16279.069214822144,19396.551827767853,21672.581793057376,15650.031017396866,17524.57625594555,230515.51528031597,230515.51528031597
2005-04-14,23309.34289363566,18566.789251432303,19686.376083569758,19688.43393994801,18514.551130344396,19964.588089899313,16091.044993044452,16122.448471546888,19191.8073352418,21143.00735753335,15968.748988325384,17331.86175274475,225579.0002872661,225579.0002872661
2005-04-15,22114.476997204107,18282.769492112366,19023.134128054593,19003.15024815265,17917.305350115636,19636.13036439941,15289.461166908584,15671.570334212589,18534.48713180359,20203.762324044652,15550.139541829154,15893.75532196885,217120.1424008062,217120.1424008062
2005-04-18,22283.38663296546,18424.78144415292,19225.70533257773,18869.63882079042,18070.442228144795,19716.027537926526,15121.227536037659,15662.077722189526,18340.51832776637,18242.005844378233,15469.275569519947,15883.397959335269,215308.48495578484,215308.48495578484
2005-04-19,23203.000224957086,18409.83129060506,19681.234349760834,19528.224050862813,18192.951730568122,20088.871284770477,15121.227536037659,15557.664647709127,18512.929343587784,19351.113800712916,15602.466634059752,15640.946847165953,218890.46174079762,218890.46174079762
2005-04-20,22214.556741126715,18178.118417277354,20370.179016344024,18931.90858110215,18039.81669191051,20115.492973368677,14497.77365876861,15780.730280481846,18523.711443314758,19068.00850578806,15797.502917268564,14921.889722159014,216439.68894891028,216439.68894891028
2005-04-21,23259.304267283893,18895.676050440503,20999.48632311716,19982.160470599272,18637.05879339618,20736.885596646316,14834.240920510463,16008.54165348877,19051.724987696434,19830.729150950294,16511.02553984416,15340.475425307899,224087.30917928132,224087.30917928132
2005-04-22,22208.311254904278,18671.448615789657,22191.2583971474,19795.239953315497,18254.206481779784,20630.37549117533,14448.29395631879,15681.061814680994,18782.32476142781,20080.528389017385,16135.229433949276,15377.779445881879,222256.05799538808,222256.05799538808
2005-04-25,23134.182789213723,18678.91125828007,22985.08926985295,20106.81122757132,18483.920075995477,20781.280374644695,14547.254304983268,15913.620059476776,18836.211217919667,19997.261976328355,16492.0024113948,15460.67118775007,225417.21615341117,225417.21615341117
2005-04-26,22639.967275346226,18506.99278200204,22493.57407398397,20017.832577128927,18192.951730568122,20701.38466055997,14468.085648545752,15524.441071405738,18620.694242523834,19690.840916949513,16411.13552254616,15630.583229141985,222898.48373070225,222898.48373070225
2005-04-27,22489.828975319248,18678.91125828007,22599.48306608995,19252.33009734049,18223.579106173955,20870.046579563248,14359.228981885377,15054.57884157997,18588.36076581919,19467.687540804334,16815.467050249936,15966.280318117875,222365.78258122364,222365.78258122364
2005-04-28,22233.34302417554,18275.28819819668,22565.552389332322,19314.603333788124,17794.792168949218,20585.98217261934,14012.86540214763,15434.266349182604,18469.826589632434,19474.34900628481,16572.872216782875,15730.053319383807,220463.79417047542,220463.79417047542
2005-04-29,22558.643919843533,18910.624131607776,22622.111461230503,19519.35642820084,17702.910042131723,20878.922908166627,14082.137740589249,15358.328847662075,18609.9137456064,19807.414657040932,16596.65805412572,15827.457566950268,222474.47950315566,222474.47950315566
